,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
206,TCS,EQ,2018-03-12,3034.1,3043.0,3083.9,3035.5,3046.95,3052.15,3060.88,1045670,3200670389.6,46166,492433,47.09,3,2018,0.5949045845555556,Slight Positive
207,TCS,EQ,2018-03-13,3052.15,2924.9,2939.7,2872.0,2886.1,2886.8,2880.44,44033577,126836076533.88,216131,31556256,71.66,3,2018,-5.41749258719263,Among top losers
208,TCS,EQ,2018-03-14,2886.8,2892.95,2923.05,2875.05,2887.85,2886.9,2899.62,1834334,5318871553.08,75794,797351,43.47,3,2018,0.003464043231260483,Slight or No change
209,TCS,EQ,2018-03-15,2886.9,2895.0,2902.55,2855.6,2867.0,2869.7,2876.92,1174453,3378807324.76,53254,440516,37.51,3,2018,-0.595794797187299,Slight negative
210,TCS,EQ,2018-03-16,2869.7,2868.8,2872.0,2805.0,2828.0,2825.7,2834.32,3598741,10199983591.12,151066,2487922,69.13,3,2018,-1.533261316513923,Negative
211,TCS,EQ,2018-03-19,2825.7,2829.0,2848.0,2820.0,2828.75,2831.0,2832.48,1744970,4942592625.6,93179,1297258,74.34,3,2018,0.18756414339811123,Slight or No change
212,TCS,EQ,2018-03-20,2831.0,2820.0,2873.2,2819.0,2870.0,2864.85,2852.27,2012492,5740170556.84,79442,1433569,71.23,3,2018,1.1956905687036334,Positive
213,TCS,EQ,2018-03-21,2864.85,2872.5,2884.3,2850.0,2856.1,2856.75,2865.76,1953839,5599233652.64,88110,1528562,78.23,3,2018,-0.28273731608984276,Slight or No change
214,TCS,EQ,2018-03-22,2856.75,2859.95,2875.95,2822.55,2824.0,2831.35,2843.57,1163047,3307205557.79,72687,876317,75.35,3,2018,-0.8891222543099708,Slight negative
215,TCS,EQ,2018-03-23,2831.35,2802.0,2834.1,2798.05,2809.2,2818.15,2816.79,1827061,5146447154.19,77575,1259843,68.95,3,2018,-0.46620869903049034,Slight or No change
216,TCS,EQ,2018-03-26,2818.15,2819.0,2827.4,2781.55,2817.0,2817.0,2812.33,1482105,4168168354.65,76911,1046954,70.64,3,2018,-0.040806912336111,Slight or No change
217,TCS,EQ,2018-03-27,2817.0,2825.0,2863.0,2823.05,2843.8,2847.7,2845.6,1247287,3549279887.2,101404,867902,69.58,3,2018,1.0898118565850101,Positive
218,TCS,EQ,2018-03-28,2847.7,2835.9,2875.0,2825.0,2849.35,2849.15,2854.33,3432827,9798421090.91,127771,2654970,77.34,3,2018,0.050918284931711355,Slight or No change
219,TCS,EQ,2018-04-02,2849.15,2840.0,2914.0,2840.0,2903.0,2909.65,2888.94,831494,2402136276.36,67851,428437,51.53,4,2018,2.1234403243072464,Positive
220,TCS,EQ,2018-04-03,2909.65,2892.1,2929.9,2892.1,2908.4,2911.25,2907.92,968645,2816742168.4,49338,665363,68.69,4,2018,0.05498943171859949,Slight or No change
221,TCS,EQ,2018-04-04,2911.25,2929.45,2934.0,2892.0,2906.9,2910.9,2914.91,1420910,4141824768.1,73678,1068225,75.18,4,2018,-0.012022327179039838,Slight or No change
222,TCS,EQ,2018-04-05,2910.9,2926.55,2963.75,2920.35,2954.1,2957.95,2949.56,904712,2668502326.72,50519,619923,68.52,4,2018,1.616338589439681,Positive
223,TCS,EQ,2018-04-06,2957.95,2954.0,2960.0,2926.55,2939.7,2950.3,2943.69,564509,1661739498.21,35618,327149,57.95,4,2018,-0.2586250612755303,Slight or No change
224,TCS,EQ,2018-04-09,2950.3,2939.7,2963.5,2915.0,2925.05,2923.9,2936.88,617933,1814795069.04,61304,377241,61.05,4,2018,-0.8948242551604979,Slight negative
225,TCS,EQ,2018-04-10,2923.9,2925.7,2957.25,2925.7,2933.4,2937.6,2943.58,592266,1743382352.28,56834,369579,62.4,4,2018,0.4685522760696337,Slight or No change
226,TCS,EQ,2018-04-11,2937.6,2950.6,3025.0,2945.6,3010.0,3014.15,2987.68,1562208,4667377597.44,79572,982143,62.87,4,2018,2.605868736383443,Positive
227,TCS,EQ,2018-04-12,3014.15,3010.0,3150.0,3007.95,3136.0,3139.25,3116.29,3057180,9527059462.2,138550,1663392,54.41,4,2018,4.150423834248462,Among top gainers
228,TCS,EQ,2018-04-13,3139.25,3150.0,3240.8,3132.1,3145.5,3153.3,3181.37,4089559,13010400315.83,147501,2142872,52.4,4,2018,0.44755913036553796,Slight or No change
